# ---------------------------------------------------------
# Distances associées aux critères: Euclidienne, Samal, WuPalmer
# Attributs: URI
# Seuil d'indecision: 0.15
# Seuils des critères: [35.0, 100.0], [0.6], [0.7]
# Type de la géométrie: POINT
# ---------------------------------------------------------
ID_REF;NOM_REF;NUM_CANDIDAT;ID_CANDIDAT;NOM_CANDIDAT;URI_REF;URI_CANDIDAT;Euclidienne;Samal;WuPalmer;Proba pign premier;Proba pign second;Decision;GEOM_REF;GEOM_CANDIDAT
158565;Cabane de Châtillon;2;PAIOROGR0000000006686265;Ranc Papillon;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"http://purl.org/choucas.ign.fr/oor#vallée";78.95335;0.55556;0.81818;0.0;1.0;false;POINT (897153.217420092 6406292.54228325);POINT (897225.1 6406325.2)
158565;Cabane de Châtillon;3;PAIOROGR0000000006686260;le Grand Assiriau;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"http://purl.org/choucas.ign.fr/oor#gouffre";196.35646;0.77778;0.81818;0.0;1.0;false;POINT (897153.217420092 6406292.54228325);POINT (897190.2 6406099.7)
158565;Cabane de Châtillon;4;PAIHABIT0000000202062797;Cabanes de Châtillon;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"http://purl.org/choucas.ign.fr/oor#lieu-dit";20.07021;0.07143;0.75;0.0;1.0;false;POINT (897153.217420092 6406292.54228325);POINT (897135.2 6406283.7)
158565;Cabane de Châtillon;5;SURFACTI0000000249527834;Cabane de Châtillon;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"http://purl.org/choucas.ign.fr/oor#abri";17.02365;0.0;0.09091;1.0;1.0;true;POINT (897153.217420092 6406292.54228325);POINT (897146.5 6406276.9)
1136898;Poussebou - Parking du bas;1;NA;NA;"http";"";0.0;0.0;0.0;0.75955;0.6794;true;null;null
1136898;Poussebou - Parking du bas;2;COURDEAU0000002215478767;Ruisseau des Arcelles;"http";"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau";141.78563;0.69907;2.0;0.08015;0.6794;false;POINT (908411.689185985 6455324.58068753);POINT (908468.1 6455194.5)
1136898;Poussebou - Parking du bas;3;PAIE_NAT0000000007450898;Champ Bruzier;"http";"http://purl.org/choucas.ign.fr/oor#lieu-dit";230.31592;0.77397;2.0;0.08015;0.6794;false;POINT (908411.689185985 6455324.58068753);POINT (908551.9 6455507.3)
1136898;Poussebou - Parking du bas;4;PAIHABIT0000000007545509;les Arcelles;"http";"http://purl.org/choucas.ign.fr/oor#lieu-dit";197.98032;0.77222;2.0;0.08015;0.6794;false;POINT (908411.689185985 6455324.58068753);POINT (908483.8 6455140.2)
39898;Crête de Brouffier;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#sommet";"";0.0;0.0;0.0;0.97584;0.9516800000000001;true;null;null
39898;Crête de Brouffier;2;PLANDEAU0000000007458558;Lac de la Courbe;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#lac";128.46988;0.66667;0.75;0.02416;0.9516800000000001;false;POINT (928418.130370959 6442070.95053225);POINT (928546.6 6442070.7)
948317;Refuge du Pic du Mas de la Grave;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"";0.0;0.0;0.0;0.0;1.0;false;null;null
948317;Refuge du Pic du Mas de la Grave;2;PAIHABIT0000000296118523;Baraques des Salomons;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"http://purl.org/choucas.ign.fr/oor#ruine";174.24304;0.72619;0.09091;0.0;1.0;false;POINT (956447.495393871 6448274.2484718);POINT (956591.6 6448372.2)
948317;Refuge du Pic du Mas de la Grave;3;PAIHABIT0000000075657487;la Petite Buffe;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"http://purl.org/choucas.ign.fr/oor#ruine";253.89229;0.71111;0.09091;0.0;1.0;false;POINT (956447.495393871 6448274.2484718);POINT (956671.8 6448155.3)
948317;Refuge du Pic du Mas de la Grave;4;SURFACTI0000002005214253;Refuge du Pic du Mas de la Grave;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"http://purl.org/choucas.ign.fr/oor#refuge";73.06794;0.0;0.09091;1.0;1.0;true;POINT (956447.495393871 6448274.2484718);POINT (956420.508244682 6448342.15)
608731;Rocher du Téléski de l'Aigle;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#cascade";"";0.0;0.0;0.0;0.61306;0.24339000000000005;true;null;null
608731;Rocher du Téléski de l'Aigle;2;TRANCABL0000000007469751;Téléski des Écureuils;"http://purl.org/choucas.ign.fr/oor#cascade";"http://purl.org/choucas.ign.fr/oor#téléski";24.46902;0.57407;0.83333;0.36967;0.24339000000000005;false;POINT (904121.300961313 6450469.604886);POINT (904111 6450491.8)
